name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite,ecsv_isCosmetic,ecsv_isRestricted,ecsv_isCustomizable,ecsv_applicableChecks,ecsv_lockedInChecks,ecsv_lockedOutChecks
Cryoflux Transducer,ehm_sr_cryoflux,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_cryoflux,,,,graphics/icons/hullsys/quantum_disruptor.png,,true,,"reqBase, reqNoLogistics",,
Damper Field,ehm_sr_damper,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_damper,,,,graphics/icons/hullsys/damper_field.png,,,,"reqBase, reqNoLogistics",,
Entropy Damper,ehm_sr_damper_omega,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_damper_omega,,,,graphics/icons/hullsys/damper_field.png,,true,,"reqBase, reqNoLogistics",,
Phase Skimmer,ehm_sr_displacer,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_displacer,,,,graphics/icons/hullsys/displacer.png,,,,"reqBase, reqNoLogistics",,
Degraded Phase Skimmer,ehm_sr_displacer_degraded,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_displacer_degraded,,,,graphics/icons/hullsys/displacer.png,,,,"reqBase, reqNoLogistics",,
Borer Drones,ehm_sr_drone_borer,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_drone_borer,,,,graphics/icons/hullsys/drone_borer.png,,,,"reqBase, reqNoLogistics",,
Point Defense Drones (High-Tech),ehm_sr_drone_pd,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_drone_pd,,,,graphics/icons/hullsys/drone_pd_high.png,,,,"reqBase, reqNoLogistics",,
Point Defense Drones (Midline),ehm_sr_drone_pd_x2,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_drone_pd_x2,,,,graphics/icons/hullsys/drone_pd_mid.png,,,,"reqBase, reqNoLogistics",,
Sensor Drones,ehm_sr_drone_sensor,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_drone_sensor,,,,graphics/icons/hullsys/drone_sensor.png,,,,"reqBase, reqNoLogistics",,
Gargoyle Drones,ehm_sr_drone_station_high,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_drone_station_high,,,,graphics/icons/hullsys/drone_pd_high.png,,true,,"reqBase, reqNoLogistics",,
Merlon Drones,ehm_sr_drone_station_lt,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_drone_station_lt,,,,graphics/icons/hullsys/drone_pd_high.png,,true,,"reqBase, reqNoLogistics",,
Ravelin Drones,ehm_sr_drone_station_mid,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_drone_station_mid,,,,graphics/icons/hullsys/drone_pd_high.png,,true,,"reqBase, reqNoLogistics",,
Termination Sequence,ehm_sr_drone_strike,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_drone_strike,,,,graphics/icons/hullsys/drone_pd_high.png,,,,"reqBase, reqNoLogistics",,
Terminator Drone,ehm_sr_drone_terminator,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_drone_terminator,,,,graphics/icons/hullsys/drone_pd_high.png,,,,"reqBase, reqNoLogistics",,
EMP Emitter,ehm_sr_emp,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_emp,,,,graphics/icons/hullsys/emp_emitter.png,,,,"reqBase, reqNoLogistics",,
Energy Conversion,ehm_sr_energy_conversion,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_energy_conversion,,,,graphics/icons/hullsys/displacer.png,,true,,"reqBase, reqNoLogistics",,
Entropy Amplifier,ehm_sr_entropyamplifier,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_entropyamplifier,,,,graphics/icons/hullsys/entropy_amplifier.png,,,,"reqBase, reqNoLogistics",,
Fast Missile Racks,ehm_sr_fastmissileracks,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_fastmissileracks,,,,graphics/icons/hullsys/missile_racks.png,,,,"reqBase, reqNoLogistics",,
Flare Launcher,ehm_sr_flarelauncher,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_flarelauncher,,,,graphics/icons/hullsys/flare_launcher.png,,,,"reqBase, reqNoLogistics",,
Active Flare Launcher,ehm_sr_flarelauncher_active,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_flarelauncher_active,,,,graphics/icons/hullsys/active_flare_launcher.png,,,,"reqBase, reqNoLogistics",,
Decoy Flare Launcher,ehm_sr_flarelauncher_fighter,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_flarelauncher_fighter,,,,graphics/icons/hullsys/flare_launcher.png,,true,,"reqBase, reqNoLogistics",,
Decoy Flare Launcher (Single),ehm_sr_flarelauncher_single,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_flarelauncher_single,,,,graphics/icons/hullsys/flare_launcher.png,,true,,"reqBase, reqNoLogistics",,
Missile Autoforge,ehm_sr_forgevats,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_forgevats,,,,graphics/icons/hullsys/missile_autoforge.png,,,,"reqBase, reqNoLogistics",,
Missile Autoforge (Station),ehm_sr_forgevats_station,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_forgevats_station,,,,graphics/icons/hullsys/missile_autoforge.png,,true,,"reqBase, reqNoLogistics",,
Fortress Shield,ehm_sr_fortressshield,1,,Experimental,"ehm, ehm_sr, ehm_require_shields, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_fortressshield,,,,graphics/icons/hullsys/fortress_shield.png,,,,"reqShield, reqBase, reqNoLogistics",,
High Energy Focus,ehm_sr_highenergyfocus,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_highenergyfocus,,,,graphics/icons/hullsys/high_energy_focus.png,,,,"reqBase, reqNoLogistics",,
Infernium Injector,ehm_sr_inferniuminjector,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_inferniuminjector,,,,graphics/icons/hullsys/infernium_injector.png,,true,,"reqBase, reqNoLogistics",,
Interdictor Array,ehm_sr_interdictor,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_interdictor,,,,graphics/icons/hullsys/interdictor_array.png,,,,"reqBase, reqNoLogistics",,
Maneuvering Jets,ehm_sr_maneuveringjets,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_maneuveringjets,,,,graphics/icons/hullsys/maneuvering_jets.png,,,,"reqBase, reqNoLogistics",,
Plasma Burn,ehm_sr_microburn,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_microburn,,,,graphics/icons/hullsys/burn_drive.png,,,,"reqBase, reqNoLogistics",,
Microburn,ehm_sr_microburn_omega,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_microburn_omega,,,,graphics/icons/hullsys/burn_drive.png,,true,,"reqBase, reqNoLogistics",,
Mine Strike,ehm_sr_mine_strike,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_mine_strike,,,,graphics/icons/hullsys/interdictor_array.png,,,,"reqBase, reqNoLogistics",,
Mine Strike (Station),ehm_sr_mine_strike_station,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_mine_strike_station,,,,graphics/icons/hullsys/interdictor_array.png,,true,,"reqBase, reqNoLogistics",,
Mote Attractor,ehm_sr_mote_control,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_mote_control,,,,graphics/icons/hullsys/reserve_deployment.png,,true,,"reqBase, reqNoLogistics",,
Phase Cloak,ehm_sr_phasecloak,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_phasecloak,,,,graphics/icons/hullsys/phase_cloak.png,,true,,"reqBase, reqNoLogistics",,
Phase Teleporter,ehm_sr_phaseteleporter,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_phaseteleporter,,,,graphics/icons/hullsys/displacer.png,,,,"reqBase, reqNoLogistics",,
Plasma Jets,ehm_sr_plasmajets,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_plasmajets,,,,graphics/icons/hullsys/infernium_injector.png,,,,"reqBase, reqNoLogistics",,
Recall Device,ehm_sr_recalldevice,1,,Experimental,"ehm, ehm_sr, ehm_require_wings, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_recalldevice,,,,graphics/icons/hullsys/recall_device.png,,,,"reqWingBays, reqBase, reqNoLogistics",,
Reserve Deployment,ehm_sr_reservewing,1,,Experimental,"ehm, ehm_sr, ehm_require_wings, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_reservewing,,,,graphics/icons/hullsys/reserve_deployment.png,,,,"reqWingBays, reqBase, reqNoLogistics",,
Phase Skimmer (Drone),ehm_sr_skimmer_drone,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_skimmer_drone,,,,graphics/icons/hullsys/displacer.png,,true,,"reqBase, reqNoLogistics",,
Targeting Feed,ehm_sr_targetingfeed,1,,Experimental,"ehm, ehm_sr, ehm_require_wings, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_targetingfeed,,,,graphics/icons/hullsys/targeting_feed.png,,,,"reqWingBays, reqBase, reqNoLogistics",,
Temporal Shell,ehm_sr_temporalshell,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_temporalshell,,,,graphics/icons/hullsys/temporal_shell.png,,,,"reqBase, reqNoLogistics",,
Full Burn,ehm_sr_traveldrive,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_traveldrive,,,,graphics/icons/hullsys/burn_drive.png,,true,,"reqBase, reqNoLogistics",,
Dynamic Stabilizer,ehm_sr_dynamic_stabilizer,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_dynamic_stabilizer,,,,,,true,,"reqBase, reqNoLogistics",,
Lidar Array,ehm_sr_lidararray,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_lidararray,,,,,,true,,"reqBase, reqNoLogistics",,
Nova Burst,ehm_sr_nova_burst,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_nova_burst,,,,,,true,,"reqBase, reqNoLogistics",,
Orion Device,ehm_sr_orion_device,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_orion_device,,,,,,true,,"reqBase, reqNoLogistics",,
,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Energy Retrofit,ehm_wr_energyslotretrofit,1,,Experimental,"ehm, ehm_wr, no_build_in, no_drop, no_drop_salvage, special, restricted",Retrofits,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_wr.ehm_wr_energyslotretrofit,"Changes all of the %s slots to %s, %s and %s slots to %s types.

If the ship has a built-in %s hull modification, replaces it with an energy version.","Changes all Ballistic slots to Energy slots, and all Missile slots to Synergy slots.",,graphics/icons/skills/energy_weapon_mastery.png,,,,"reqBase, reqNoLogistics","hasWeapons, hasAnyFittedWings","hasWeapons, hasAnyFittedWings"
Mass Ballistic Retrofit,ehm_wr_ballisticslotretrofit,1,,Experimental,"ehm, ehm_wr, no_build_in, no_drop, no_drop_salvage, special, restricted",Retrofits,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_wr.ehm_wr_ballisticslotretrofit,"Changes all of the %s slots to %s, %s and %s slots to %s types.","Changes all Energy slots to Ballistic slots, and all Missile slots to Composite slots.",,graphics/icons/skills/ranged_specialization.png,,,,"reqBase, reqNoLogistics","hasWeapons, hasAnyFittedWings","hasWeapons, hasAnyFittedWings"
Mass Missile Retrofit,ehm_wr_missileslotretrofit,1,,Experimental,"ehm, ehm_wr, no_build_in, no_drop, no_drop_salvage, special, restricted",Retrofits,25000,,,,6,12,18,30,experimentalHullModifications.hullmods.ehm_wr.ehm_wr_missileslotretrofit,"Adds %s support to every slot; %s slots become %s, %s slots become %s and %s slots become %s.

Increases OP cost of all missile weapons by %s depending on the weapon size.

If the ship has a built-in %s hull modification, suppresses it.","Changes all Energy slots to Ballistic slots, and all Missile slots to Composite slots.",,graphics/icons/skills/missile_specialization.png,,,,"reqBase, reqNoLogistics","hasWeapons, hasAnyFittedWings","hasWeapons, hasAnyFittedWings"
Mass Universal Retrofit,ehm_wr_universalslotretrofit,1,,Experimental,"ehm, ehm_wr, no_build_in, no_drop, no_drop_salvage, special, restricted",Retrofits,25000,,TRUE,TRUE,8,16,24,40,experimentalHullModifications.hullmods.ehm_wr.ehm_wr_universalslotretrofit,Changes all slots to %s type.,Changes all slots to Universal ones.,,,,true,,"reqBase, reqNoLogistics","hasWeapons, hasAnyFittedWings","hasWeapons, hasAnyFittedWings"
Mass Small Universal Retrofit,ehm_wr_universalsmallslotretrofit,1,,Experimental,"ehm, ehm_wr, no_build_in, no_drop, no_drop_salvage, special, restricted",Retrofits,25000,,,,1,2,3,5,experimentalHullModifications.hullmods.ehm_wr.ehm_wr_universalsmallslotretrofit,Changes all %s slots to %s type. Cheaper than other retrofits as this only affects small slots.,Changes all small slots to Universal ones.,,graphics/icons/skills/target_analysis.png,,,,"reqBase, reqNoLogistics","hasWeapons, hasAnyFittedWings","hasWeapons, hasAnyFittedWings"
,,,,,,,,,,,,,,,,,,,,,,,,,
Adapter Activator,ehm_ar_stepdownadapter,1,,Experimental,"ehm, ehm_ar, no_build_in, no_drop, no_drop_salvage, special, restricted",Activators,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ar.ehm_ar_stepdownadapter,Activates the %s on the weapon slots of the ship. Adapters turn bigger slots into smaller ones.,Weapon slots with a shunt on them will provide bonuses based on the shunt type.,,graphics/icons/skills/loadout_design.png,,,,"reqBase, reqNoLogistics",hasWeaponsOnAdaptedSlots,
Converter/Diverter Activator,ehm_ar_diverterandconverter,1,,Experimental,"ehm, ehm_ar, no_build_in, no_drop, no_drop_salvage, special, restricted",Activators,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ar.ehm_ar_diverterandconverter,"Activates the %s and the %s on the weapon slots of the ship. Converters use slot points to turn a smaller slot into a bigger one. Diverters turn the slot inactive, but yield slot points to be used by converters.

Each slot point %s through hull modifications will increase the %s of the ship by %s.",Weapon slots with a shunt on them will provide bonuses based on the shunt type.,,graphics/hullmods/axial_rotation.png,,,,"reqBase, reqNoLogistics",hasWeaponsOnConvertedSlots,
Mutable Shunt Activator,ehm_ar_mutableshunt,1,,Experimental,"ehm, ehm_ar, no_build_in, no_drop, no_drop_salvage, special, restricted",Activators,25000,,,,2,4,6,10,experimentalHullModifications.hullmods.ehm_ar.ehm_ar_mutableshunt,Activates %s and %s on the weapon slots. Capacitors provide flux capacity bonus to the ship. Dissipators provide flux dissipation bonus to the ship.,Weapon slots with a shunt on them will provide bonuses based on the shunt type.,,graphics/icons/skills/special_modifications.png,,,,"reqBase, reqNoLogistics",,
Launch Tube Activator,ehm_ar_launchtube,1,,Experimental,"ehm, ehm_ar, ehm_require_no_phase, no_build_in, no_drop, no_drop_salvage, special, restricted",Activators,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ar.ehm_ar_launchtube,Activates the %s on the weapon slots and turn them into a fighter bay.,Weapon slots with a shunt on them will provide bonuses based on the shunt type.,,graphics/icons/skills/space_ops.png,,,,"reqNoPhase, reqBase, reqNoLogistics",hasExtraWings,
Mini-Module Activator,ehm_ar_minimodule,1,,Experimental,"ehm, ehm_ar, no_build_in, no_drop, no_drop_salvage, special, restricted",Activators,25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm_ar.ehm_ar_minimodule,,,,,,,,"reqNotChild, reqBase, reqNoLogistics",hasMiniModules,
,,,,,,,,,,,,,,,,,,,,,,,,,
Over-Engineered,ehm_mr_overengineered,1,,Experimental,"ehm, ehm_mr, no_drop, no_drop_salvage, special, restricted",Activators,25000,,,,10,20,30,50,experimentalHullModifications.hullmods.ehm_mr.ehm_mr_overengineered,"When built-in to the hull by using a %s, will increase ship's total OP by %s and provide %s.

The %s bonus is dependent on the size of the hull, and can be utilized by %s to increase size of a slot.

Each slot point %s through this hull modification will increase the %s of the ship by %s.",Over-engineers the ship when it is built-in. Adds more OP and awards slot points to be used by converters.,Provides %s and %s to the ship.,graphics/hullmods/safety_overrides.png,,,,,,
Logistics Overhaul,ehm_mr_logisticsoverhaul,1,,Experimental,"ehm, ehm_mr, no_drop, no_drop_salvage, special, restricted",Retrofits,25000,,,,6,12,18,30,experimentalHullModifications.hullmods.ehm_mr.ehm_mr_logisticsoverhaul,"An extreme modification that completely overhauls the ship for pure logistics usage. Strips the hull of any weapons, fighter bays, ship and defense systems upon installation. When built-in to the hull by using a %s, will provide bonuses to fleet logistics.

The stripped parts opens up enough room which is reserved for %s. The remaining room is converted into fuel and cargo storage; weapon slots grant %s, fighter bays grant %s, ship and defense systems (if any) grant %s bonus.

Military hulls are converted into civilian ones, and their %s are reduced by %s.",Extreme modification that strips the ship of any offensive and defensive capabilities in favour of fleet wide logistics capability.,Provides %s to the ship.,graphics/icons/skills/bulk_transport.png,,,,,,
Auxiliary Generators,ehm_mr_auxilarygenerators,1,,Experimental,"ehm, ehm_mr, no_drop, no_drop_salvage, special, restricted",Activators,25000,,,,10,10,20,20,experimentalHullModifications.hullmods.ehm_mr.ehm_mr_auxilarygenerators,"Depending on the ship size, %s ordnance points are exchanged with %s slot points.

Each slot point %s through this hull modification will increase the %s of the ship by %s.",Exchanges some ordnance points with slot points.,,graphics/icons/skills/bulk_transport.png,,,,"reqDiverterAndConverter, reqBase, reqNoLogistics",hasWeaponsOnConvertedSlots,
AI Switch,ehm_mr_aiswitch,1,,Experimental,"ehm, ehm_mr, no_drop, no_drop_salvage, special, restricted",Retrofits,25000,,,,5,10,15,25,experimentalHullModifications.hullmods.ehm_mr.ehm_mr_aiswitch,"On automated ships, suppresses automation. A %s will be required to maintain the ship, and a %s may be assigned. The ship will %s a CR penalty, but will also be %s to deploy.

On other ships, provides automation. An %s can be installed, and the ship will require %s to function. The ship will %s the automated ship CR penalty, but will be %s to deploy.

No matter the ship's new state, %s skill is necessary to properly utilize this hull modification.",Add/Remove ship automation.,,data/graphics/icons/aiswitch.png,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
